"UniqueSite","Site_Lat","Site_Long","Year","Targeted.biomass","PA_tp","Atoll","DepthCategory","CleanHabitat","Protection","CensusMethod","Total.sampling.Area","gravtot_500km","MPAage","NTZarea","Regional_population_growth","Ocean_prod","Climate_stress","HDI","Larger_pop_size","spatialcatch_tkm2","Larger_2","SocialSIte4km"
8990,-8.06298,39.42824,2007,1308.625,1,0,"0-4m","Crest","UnfishedLow","Standard belt transect",2000,69.99781562,12,822,18.03581162,581.3405345,0.594447668,0.52,44973330,5.10244645356785,"Tanzania","MacClanahan_60"
8992,-5.1503,39.63075,2013,246.7654042,0,0,"0-4m","Lagoon_Back reef","Fished","Standard belt transect",500,127.2525994,0,0,13.46594001,374.4664452,0.615426307,0.52,44973330,5.10244645356785,"Tanzania","MacClanahan_61"
8994,-12.23356667,44.28571667,2011,279.55,0,0,"0-4m","Crest","Fished","Standard belt transect",500,259.37144,0,0,25.65952493,290.2975797,0.593101255,0.575,683081,0.0778451275765315,"Comoro Islands","MacClanahan_63"
8996,-10.994,40.711417,2008,241.845,0,0,"0-4m","Crest","UnfishedHigh","Standard belt transect",1000,18.74910622,1,5,10.6745948,346.6630397,0.6224,0.374,23967265,1.25413901998885,"Mozambique","MacClanahan_58"
8998,-10.994,40.711417,2013,411.1882314,0,0,"0-4m","Crest","UnfishedHigh","Standard belt transect",500,18.74910622,6,5,10.6745948,346.6630397,0.6224,0.374,23967265,1.25413901998885,"Mozambique","MacClanahan_58"
9000,-12.9286,40.5069,2008,58.64,0,0,"0-4m","Flat","Fished","Standard belt transect",1000,608.7644182,0,0,13.28914198,298.7192708,0.660390456,0.374,23967265,1.25413901998885,"Mozambique","MacClanahan_14"
9002,-12.3139,40.61083,2013,270.2863116,0,0,"0-4m","Slope","Restricted","Standard belt transect",500,33.54009959,0,0,14.67409328,336.032779,0.650758082,0.374,23967265,1.25413901998885,"Mozambique","MacClanahan_66"
9006,-5.27965,39.11398333,2010,353.3,0,0,"0-4m","Lagoon_Back reef","UnfishedLow","Standard belt transect",1000,341.4612228,10,1,14.34740781,459.4582031,0.6430559,0.52,44973330,5.10244645356785,"Tanzania","MacClanahan_44"
9023,-3.26,40.15,2011,509.475,0,0,"0-4m","Lagoon_Back reef","UnfishedHigh","Standard belt transect",1000,1444.836028,43,6.3,18.32957101,466.4769368,0.613666587,0.567,40909194,6.59106828881532,"Kenya","MacClanahan_68"
9025,-18.53,43.78,2009,277.65,0,0,"0-4m","Flat","Fished","Standard belt transect",500,21.62526089,0,0,22.61439847,794.754252,0.548910044,0.551,21079532,1.58074365794344,"Madagascar","MacClanahan_69"
9026,-8.07807,39.59907,2007,348.6525,0,0,"0-4m","Crest","Fished","Standard belt transect",2000,55.79257809,0,0,16.2460038,519.9458899,0.585449022,0.52,44973330,5.10244645356785,"Tanzania","MacClanahan_70"
9027,-8.07807,39.59907,2007,335.795,0,0,"0-4m","Crest","Fished","Standard belt transect",2000,55.79257809,0,0,16.2460038,519.9458899,0.585449022,0.52,44973330,5.10244645356785,"Tanzania","MacClanahan_70"
9028,-18.57,43.89,2009,314.26,0,0,"0-4m","Lagoon_Back reef","Fished","Standard belt transect",500,24.1550119,0,0,22.59212349,829.8706067,0.545262326,0.551,21079532,1.58074365794344,"Madagascar","MacClanahan_4"
9030,-4.8857,39.67535,2013,127.0646393,0,0,"0-4m","Crest","Fished","Standard belt transect",500,150.1195509,0,0,15.46609999,373.0052308,0.607261661,0.52,44973330,5.10244645356785,"Tanzania","MacClanahan_72"
9031,-21.958733,35.428737,2010,721.675,0,0,"0-4m","Crest","Fished","Standard belt transect",1000,35.56930707,0,0,18.00077067,523.219324,0.291013979,0.374,23967265,1.25413901998885,"Mozambique","MacClanahan_73"
